pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at
569ab5a6-76e4-46a6-abb6-b12be4197e31,Plasma,aave-v3,SYRUPUSDT,,443000838,0.0,,True,2025-12-14T21:43:55.851914
e338c687-a5d8-4abf-bc04-127990811b0a,Plasma,aave-v3,USDT0,,396630801,3.72851,,True,2025-12-14T21:43:55.851914
6cf9108a-4832-4681-95d7-757d51d3b24a,Plasma,aave-v3,SUSDE,,352037223,0.0,,True,2025-12-14T21:43:55.851914
42eaf290-24c3-4ce0-82ab-c1276444871b,Plasma,aave-v3,USDE,,139428966,1.52951,,True,2025-12-14T21:43:55.851914
7e0661bf-8cf3-45e6-9424-31916d4c7b84,Base,aave-v3,USDC,,126245153,3.23644,,True,2025-12-14T21:43:55.851914
d9fa8e14-0447-4207-9ae8-7810199dfa1f,Arbitrum,aave-v3,USDC,,77012861,3.15479,,True,2025-12-14T21:43:55.851914
c4b05318-88af-4536-a834-f5fc8940d2d3,Avalanche,aave-v3,USDC,,43038723,2.9079,,True,2025-12-14T21:43:55.851914
3a6cc030-738d-4e19-8a40-e63e9c4d5a6f,Arbitrum,aave-v3,USD₮0,,30890113,2.71643,,True,2025-12-14T21:43:55.851914
e6692d08-85b6-4b50-952b-7c5c531862fe,Avalanche,aave-v3,USDT,,28567310,2.41013,,True,2025-12-14T21:43:55.851914
29be6a85-414f-4a66-b075-98863278912a,BSC,aave-v3,USDT,,22866655,2.77341,,True,2025-12-14T21:43:55.851914
6652ed18-d327-46cd-9bac-08e0e14ea715,Base,aave-v3,EURC,,20325633,1.01899,,True,2025-12-14T21:43:55.851914
32f04d80-25f9-439f-838d-3b15becf2d21,Gnosis,aave-v3,SDAI,,19750663,0.0,,True,2025-12-14T21:43:55.851914
1b8b4cdb-0728-42a8-bf13-2c8fea7427ee,Polygon,aave-v3,USDC,,17990702,2.90892,,True,2025-12-14T21:43:55.851914
7e7821a2-3d20-4ae7-9c3d-04cd57904555,Polygon,aave-v3,USDT0,,17912107,2.94445,,True,2025-12-14T21:43:55.851914
8a6cda27-aa2b-4201-bb05-9cfcfc4ab6fd,Celo,aave-v3,USD₮,,12489806,0.3298,,True,2025-12-14T21:43:55.851914
15cf7c05-b5f0-4bde-8745-a791528c4381,BSC,aave-v3,USDC,,8633324,2.30757,,True,2025-12-14T21:43:55.851914
9bf5faf4-32e3-437e-8080-c38eae10cfa6,Sonic,aave-v3,USDC,,7459410,1.88715,,True,2025-12-14T21:43:55.851914
0758c3b8-4ffb-4176-b0a9-f446e367db46,Optimism,aave-v3,USDC,,7044342,2.82753,,True,2025-12-14T21:43:55.851914
5a49dee1-344d-4b50-a167-8f5faab08752,Linea,aave-v3,USDC,,3987436,2.78106,,True,2025-12-14T21:43:55.851914
eb089ddf-77ba-459c-8e87-7a66c7fc3f27,Gnosis,aave-v3,EURE,,3477507,3.5175,,True,2025-12-14T21:43:55.851914
bde08c85-41c5-4d80-9bb1-0835a4352efa,Optimism,aave-v3,USDT,,2321252,3.01318,,True,2025-12-14T21:43:55.851914
3e669ce8-74c5-4fc9-bf85-f40a924c6407,Avalanche,aave-v3,DAI.E,,2270788,1.34835,,True,2025-12-14T21:43:55.851914
a8e3d841-2788-4647-ad54-5a36fac451b1,Arbitrum,aave-v3,DAI,,2269120,1.94171,,True,2025-12-14T21:43:55.851914
461505e0-e631-4af0-b0e9-6a861d917939,Gnosis,aave-v3,USDC.E,,2025819,3.32204,,True,2025-12-14T21:43:55.851914
c57bdc97-3100-41ff-845f-075363f6f5a4,Polygon,aave-v3,DAI,,1919104,3.16672,,True,2025-12-14T21:43:55.851914
21091399-1187-4242-8e03-9b06032f9a8f,Gnosis,aave-v3,WXDAI,,1657501,1.51255,,True,2025-12-14T21:43:55.851914
37b04faa-95bb-4ccb-9c4e-c70fa167342b,Polygon,aave-v3,USDC,,1290660,2.34756,,True,2025-12-14T21:43:55.851914
9ec8eb36-332d-47d4-8d32-ee7574037e60,Avalanche,aave-v3,EURC,,1102240,2.4056,,True,2025-12-14T21:43:55.851914
24762515-822a-46af-927c-77a1dc449bd0,Optimism,aave-v3,USDC,,942184,1.73758,,True,2025-12-14T21:43:55.851914
e95cadc3-0ea7-4932-9b80-a8baba80eff4,Polygon,aave-v3,EURS,,893269,2.70799,,True,2025-12-14T21:43:55.851914
6817bab0-5389-40a0-84d1-78830c1d81aa,Linea,aave-v3,USDT,,814798,3.64063,,True,2025-12-14T21:43:55.851914
8c12b53b-31a1-4c2e-a188-349fff79bb3c,Avalanche,aave-v3,SUSDE,,769994,0.0,,True,2025-12-14T21:43:55.851914
7aab7b0f-01c1-4467-bc0d-77826d870f19,Arbitrum,aave-v3,USDC,,742940,2.04141,,True,2025-12-14T21:43:55.851914
ec762755-29a1-41d8-957f-0b00dcf00dd6,Scroll,aave-v3,USDC,,707263,0.90421,,True,2025-12-14T21:43:55.851914
5e498f38-9d6f-49b7-a197-9068103f9866,zkSync Era,aave-v3,USDC,,294133,2.92285,,True,2025-12-14T21:43:55.851914
4bbdb2ff-3237-44a5-bb86-6562f9814ad9,Celo,aave-v3,CUSD,,234818,3.35823,,True,2025-12-14T21:43:55.851914
833ec61b-f9e6-46ac-9eff-2785808b2389,Base,aave-v3,USDBC,,225604,1.96258,,True,2025-12-14T21:43:55.851914
8a1218c0-b408-4784-852c-8305396ba8f4,Avalanche,aave-v3,AUSD,,160947,3.3734,,True,2025-12-14T21:43:55.851914
4734c292-5e38-4962-b7a9-e1e265254c1b,BSC,aave-v3,FDUSD,,137428,3.84461,,True,2025-12-14T21:43:55.851914
363e5586-cfee-402c-9b0b-be70366052e8,Optimism,aave-v3,DAI,,132091,3.56622,,True,2025-12-14T21:43:55.851914
0cfcfe3b-29ff-47ff-97fa-078bf4755863,Metis,aave-v3,M.USDT,,107454,3.8549,,True,2025-12-14T21:43:55.851914
8d4d3acb-e1bf-471a-8256-36b90a8f4d25,Arbitrum,aave-v3,FRAX,,99678,0.9291,,True,2025-12-14T21:43:55.851914
