pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at,project_canon
81ae8812-f04f-4f6e-9d71-ee5778f3a178,Base,morpho-v1,STEAKUSDC,,417104305,5.40031,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
a5fab52f-73fa-4f44-9c09-9af1eb20996c,Base,morpho-v1,SPARKUSDC,,304028486,5.38073,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
e0672197-9f3e-4414-bca5-e6b4c90aa469,Base,morpho-v1,GTUSDCP,,177563537,5.39795,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
7820bd3c-461a-4811-9f0b-1d39c1503c3f,Base,morpho-v1,STEAKUSDC,,70379570,5.4003,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
4c45cc9e-e1a4-43c9-8a3d-687d96abb07c,Arbitrum,fluid-lending,USDC,,68100182,3.03,1.72,True,2025-12-14T21:56:31.158038,fluid-lending
8622e84a-794b-4b68-aad2-a6a2e0e0d2c7,Hyperliquid,morpho-v1,FEUSDC,,59311636,6.6886,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
aebb9f47-d15b-4671-8fe3-debb6e913ae2,Arbitrum,morpho-v1,GTUSDCC,,58367851,4.11187,1.25762,True,2025-12-14T21:56:31.158038,morpho-v1
9f9b14d8-4eaa-4718-85e9-43ca843f6dc6,Arbitrum,fluid-lending,USD₮0,,46585558,2.59,2.13,True,2025-12-14T21:56:31.158038,fluid-lending
d294fa4d-c6df-4e6e-a6fd-ed8f5d7d6d37,Base,morpho-v1,SMUSDC,,34423796,5.39808,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
b39b492a-0a64-4926-8598-d5acf05d62b5,Base,morpho-v1,MWUSDC,,30918373,5.40033,0.11744,True,2025-12-14T21:56:31.158038,morpho-v1
70a7ce84-e3e1-4ef1-933e-7a699ee58b95,Katana,morpho-v1,GTUSDC,,30634822,1.07913,4.74731,True,2025-12-14T21:56:31.158038,morpho-v1
c1949c46-0c01-445f-8017-b3192d9913bc,Base,morpho-v1,PUSDC,,29705893,5.40033,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
12129238-0fcc-4236-abc7-32570391c6c8,Arbitrum,fluid-lending,SYRUPUSDC,,28936968,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
1c9fb97d-f432-44fb-89a0-8120b4cae95c,Hyperliquid,morpho-v1,FEUSDH,,27758253,1.60973,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
9383bed8-c5cd-4ca1-8692-a8447773a360,Arbitrum,fluid-dex,USDAI-USDC,,25330012,0.01902,,True,2025-12-14T21:56:31.158038,fluid-dex
6b655652-e718-4cba-a17b-42ee036531dc,Optimism,morpho-v1,GTUSDCP,,24431520,2.02266,4.36397,True,2025-12-14T21:56:31.158038,morpho-v1
600291d6-c8f3-47b0-81a0-98a64d123f3e,Arbitrum,fluid-dex,USDC-USD₮0,,23936635,0.16022,,True,2025-12-14T21:56:31.158038,fluid-dex
7372edda-f07f-4598-83e5-4edec48c4039,Base,fluid-lending,USDC,,23792916,3.75,1.61,True,2025-12-14T21:56:31.158038,fluid-lending
0fd780bc-de70-42bc-b2db-6afa5f9ad56c,Arbitrum,morpho-v1,SUSDS,,22785678,,,True,2025-12-14T21:56:31.158038,morpho-v1
4d967fdf-09f4-43ef-9429-653ec974e7ee,Arbitrum,fluid-dex,SUSDE-USD₮0,,20264819,0.04714,,True,2025-12-14T21:56:31.158038,fluid-dex
d716dd56-359d-4dad-b89b-ac8f95df505e,Hyperliquid,morpho-v1,FEUSDT0,,16658806,3.19014,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
d56ab93e-d48d-44f2-8139-9bb020afc980,Katana,morpho-v1,STEAKUSDC,,15840133,0.89603,4.85523,True,2025-12-14T21:56:31.158038,morpho-v1
8e68dfc4-646e-4fdc-b068-891296c80fb5,Arbitrum,fluid-dex,SUSDAI-USDC,,15373627,0.34082,,True,2025-12-14T21:56:31.158038,fluid-dex
646df9da-01ef-4da5-9746-acbf12f70cfa,Arbitrum,morpho-v1,HYPERUSDC,,12070724,5.12555,1.09845,True,2025-12-14T21:56:31.158038,morpho-v1
192de07e-d88d-4911-bcf2-829c4527e604,Base,fluid-dex,USDAI-USDC,,10345979,0.63624,,True,2025-12-14T21:56:31.158038,fluid-dex
a8377123-ab6a-4df7-b873-8490a47e2881,Hyperliquid,morpho-v1,FEUSDT02,,10344942,6.68519,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
ab58f237-9d33-4594-b731-7e399c93e234,Optimism,morpho-v1,SUSDC,,10202224,,,True,2025-12-14T21:56:31.158038,morpho-v1
ec49cd0b-42a0-4933-9668-f9778305d34b,Arbitrum,morpho-v1,SYRUPUSDC,,10115061,,,True,2025-12-14T21:56:31.158038,morpho-v1
445aec38-67cf-4aa8-af22-639875df0f78,Arbitrum,fluid-dex,SYRUPUSDC-USDC,,10052844,0.09233,,True,2025-12-14T21:56:31.158038,fluid-dex
2902e32c-4b8a-475a-827c-eb3f86085cdb,Base,fluid-dex,SYRUPUSDC-USDC,,10012349,0.00036,,True,2025-12-14T21:56:31.158038,fluid-dex
8a8c88a3-d712-4a60-997f-b7e6c1c3256e,Hyperliquid,morpho-v1,RERUSDC,,9991793,0.00996,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
02d54f06-7b42-4d91-ba44-aac97123bdfa,Monad,morpho-v1,BBQUSDC,,9547134,2.87161,3.5153,True,2025-12-14T21:56:31.158038,morpho-v1
ee11e86e-1771-4847-8b49-40c68f85cd46,Monad,morpho-v1,BBQUSDC,,9545079,4.28825,3.80246,True,2025-12-14T21:56:31.158038,morpho-v1
377f2c68-9740-4a9e-a606-09fdfd5129fe,Katana,morpho-v1,GTUSDT,,9008423,0.83693,0.74881,True,2025-12-14T21:56:31.158038,morpho-v1
2bba08d7-0e3b-48c6-a837-bc37c5bb5f8d,Monad,morpho-v1,WSRUSD,,8935384,,,True,2025-12-14T21:56:31.158038,morpho-v1
29f136e4-979f-4a31-8937-21e130a2b5f4,Katana,morpho-v1,YVVBUSDC,,8918216,,,True,2025-12-14T21:56:31.158038,morpho-v1
23c5f50c-ee67-46eb-a813-3ab665b105fe,Katana,morpho-v1,YVVBUSDT,,8857992,,,True,2025-12-14T21:56:31.158038,morpho-v1
19d0ddd5-083a-4839-a01a-5fdf066e94a3,Arbitrum,fluid-lending,GHO,,8482871,3.02,2.73,True,2025-12-14T21:56:31.158038,fluid-lending
e9bfd1d5-658b-4732-9d5b-42afa4d7277a,Unichain,morpho-v1,GTUSDCC,,8158402,0.12921,5.65103,True,2025-12-14T21:56:31.158038,morpho-v1
bab5837b-cbe2-4fec-ac8a-f3362c7ac1d5,Polygon,morpho-v1,COMPUSDC,,7540594,2.42472,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
7aad812f-4ed1-42ea-8c8f-654b5ef49d25,Arbitrum,morpho-v1,GTUSDCP,,7515897,3.75813,1.18547,True,2025-12-14T21:56:31.158038,morpho-v1
183b296c-f3a9-4233-87f3-40cfc5c28d18,Base,morpho-v1,EXMUSDC,,7356966,5.39593,0.65535,True,2025-12-14T21:56:31.158038,morpho-v1
be7c5eed-aee8-4f40-bc82-f7b8c5a34f37,Arbitrum,fluid-lending,WSTUSR,,7303588,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
ebf0ae1d-9f42-4273-9e8e-5e52fd0399ea,Arbitrum,morpho-v1,CSUSDC,,6846451,5.2988,1.08869,True,2025-12-14T21:56:31.158038,morpho-v1
c1aee434-6c8e-4958-a851-eda8ab8bb32d,Base,morpho-v1,MWEURC,,6572809,0.71476,1.92049,True,2025-12-14T21:56:31.158038,morpho-v1
7d2051f5-3442-479c-a199-24d9512d81b2,Katana,morpho-v1,WSRUSD,,6311992,,,True,2025-12-14T21:56:31.158038,morpho-v1
bf346d43-ef94-4277-b159-ebadb93caef1,Base,morpho-v1,BBQUSDC,,6115458,5.45702,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
85f878ab-9ae3-4524-afa5-f1356dfb361f,Arbitrum,euler-v2,USDC,EVK Vault eUSDC-2,5948282,3.34984,,True,2025-12-14T21:56:31.158038,euler-v2
44a4e84a-4ad1-4783-ac83-3d7e432220ea,Base,morpho-v1,MEUSD,,5938825,0.23383,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
cd35c563-0b37-47f6-a522-c7e5240b3f65,Base,morpho-v1,STEAKEURC,,5788782,1.44574,1.17981,True,2025-12-14T21:56:31.158038,morpho-v1
200fd130-7cd2-4eec-a24d-03c12dfb4751,Katana,morpho-v1,BBQUSDC,,5280454,4.95905,4.85523,True,2025-12-14T21:56:31.158038,morpho-v1
c13f1940-9965-4eee-b7e8-af785591ceda,Arbitrum,morpho-v1,BBQUSDC,,4672479,4.08101,1.4502,True,2025-12-14T21:56:31.158038,morpho-v1
059fa0e6-7402-498c-bfa8-561baf4e82ec,Avalanche,euler-v2,USDC,EVK Vault eUSDC-19,4518805,6.06978,,True,2025-12-14T21:56:31.158038,euler-v2
2d3cb29c-5a48-4ef0-8761-16796f9f143c,Arbitrum,morpho-v1,YDG-USDC,,4463218,5.22252,1.14158,True,2025-12-14T21:56:31.158038,morpho-v1
800c94ce-23db-4ee8-ab56-44fe0da9905f,Base,morpho-v1,RE7USDC,,4092607,5.80191,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
735fb238-6c21-44b0-9f02-31fb880836e6,Base,morpho-v1,YOUSD,,4090385,,,True,2025-12-14T21:56:31.158038,morpho-v1
