pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at
fe5cdef6-e8ca-4b13-b2a2-6d66b97a9ffd,Arbitrum,pendle,SUSDAI,For buying PT-sUSDai-19FEB2026,85988921,13.66968,,True,2025-12-14T21:26:49.849358
43a38685-aa22-4d99-9c2f-bd34a980de01,Arbitrum,pendle,SUSDAI,For LP | Maturity 19FEB2026,85988921,10.37052,1.25896,True,2025-12-14T21:26:49.849358
ac545f82-305e-4995-8963-f27fa94924f6,Arbitrum,pendle,USDAI,For buying PT-USDai-19FEB2026,83536046,9.17761,,True,2025-12-14T21:26:49.849358
1f04d9a8-b6c1-4c1c-8660-c83852644f8a,Arbitrum,pendle,USDAI,For LP | Maturity 19FEB2026,83536046,1.57896,0.61066,True,2025-12-14T21:26:49.849358
07a8902d-084b-4bd2-98b5-cc348effc251,Arbitrum,pendle,MPENDLE,For LP | Maturity 26MAR2026,6759873,36.67517,9.62724,True,2025-12-14T21:26:49.849358
ef8940da-0d25-4229-a62f-1391d09025ad,Arbitrum,pendle,MPENDLE,For buying PT-mPENDLE-26MAR2026,6759873,20.9614,,True,2025-12-14T21:26:49.849358
24650b6f-e0b8-4299-a15c-b426ec9459f0,Hyperliquid,pendle,HBUSDT,For LP | Maturity 18DEC2025,6247867,5.9195,0.11131,True,2025-12-14T21:26:49.849358
6dbba3a2-5da8-4ff5-85a2-7d0452e425da,Hyperliquid,pendle,HBUSDT,For buying PT-hbUSDT-18DEC2025,6247867,7.64747,,True,2025-12-14T21:26:49.849358
0d42a357-ca59-40bd-95fa-59f9b6f04999,BSC,pendle,SATUSD+,For LP | Maturity 18DEC2025,3821154,0.60526,0.08467,True,2025-12-14T21:26:49.849358
7a0e8242-ba2b-4c11-a2f5-8f9c01527912,BSC,pendle,SATUSD+,For buying PT-satUSD+-18DEC2025,3821154,5.23512,,True,2025-12-14T21:26:49.849358
79f6d47d-ff3a-48ba-af2e-a7ae23dd6e8c,Arbitrum,pendle,GUSDC,For LP | Maturity 18DEC2025,2894445,7.38689,0.2182,True,2025-12-14T21:26:49.849358
5daf1da8-2d50-4ade-995e-e05760e9772a,Arbitrum,pendle,GUSDC,For buying PT-gUSDC-18DEC2025,2894445,8.91174,,True,2025-12-14T21:26:49.849358
