pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at
eaece65e-ffb2-4631-a95e-7f267cb2f1ba,Solana,kamino-lend,PYUSD,,435615714,0.41382,,True,2025-12-14T21:51:44.795121
296651fc-25f6-4434-b8ec-17c2af9808da,Solana,drift-staked-sol,DSOL,,227911669,6.52167,,True,2025-12-14T21:51:44.795121
1accaa9f-f4fa-4063-9502-1733ed8e4832,Solana,kamino-lend,DSOL,,172364486,0.0,,True,2025-12-14T21:51:44.795121
d2141a59-c199-4be7-8d4b-c8223954836b,Solana,kamino-lend,USDC,,87426462,3.76364,,True,2025-12-14T21:51:44.795121
a7bc7803-51ac-4942-9dfc-a1702b7a3fdf,Solana,kamino-lend,DFDVSOL,,57296760,0.0,,True,2025-12-14T21:51:44.795121
91119a14-3b0a-433a-b09b-51cc079c6ea5,Solana,kamino-liquidity,SYRUPUSDC-USDC,,30291572,0.33384,0.0,True,2025-12-14T21:51:44.795121
5147b468-e863-45fb-a8d6-592f413f24c6,Solana,kamino-liquidity,PYUSD-USDC,,30001061,0.24354,0.0,True,2025-12-14T21:51:44.795121
4c87b4d3-3bfc-422e-b2e7-a8178d9ab2f1,Solana,carrot-liquidity,USDC-USDT-PYUSD,,28797522,4.94761,,True,2025-12-14T21:51:44.795121
0969d0b7-dace-47e1-9a56-182d4ad08198,Solana,kamino-liquidity,USDS-USDC,,28388722,0.17543,0.0,True,2025-12-14T21:51:44.795121
7f980c43-5b87-4690-a11a-b0e8a5e37a63,Solana,unitas,SUSDU,,22047874,14.11657,,True,2025-12-14T21:51:44.795121
fa200a4c-e14a-4cec-a9e9-583f3c2f1891,Solana,kamino-liquidity,CASH-USDC,,21944045,0.87874,0.0,True,2025-12-14T21:51:44.795121
5c2f9476-1fea-4884-b6b5-edcbab442f45,Solana,kamino-liquidity,USDS-USDC,,17067360,0.03016,0.0,True,2025-12-14T21:51:44.795121
fa36ea14-cfb0-4f04-853f-366b22f0d887,Solana,kamino-lend,USDS,,16054458,1.07462,,True,2025-12-14T21:51:44.795121
14bd0ebc-1c70-4b61-80a9-91390179286a,Solana,credix,USDC,,13742064,0.24901,,True,2025-12-14T21:51:44.795121
34c08a67-71ab-4e92-aed4-34ede13dce5b,Solana,kamino-liquidity,USDG-USDC,,12683592,0.0542,0.0,True,2025-12-14T21:51:44.795121
a354ddc4-91b2-441c-807e-40b774920445,Solana,kamino-liquidity,DEJAAA-USDC,,10104639,0.0,0.0,True,2025-12-14T21:51:44.795121
7d954b46-a2e9-461c-b1e3-f1e0cdd05c65,Solana,kamino-lend,FWDSOL,,9569601,0.0,,True,2025-12-14T21:51:44.795121
91d6ed2f-b69e-4d7b-8d56-ab3256fbe1f5,Solana,kamino-lend,CASH,,9356959,2.94529,,True,2025-12-14T21:51:44.795121
3fdf7baa-8ca7-4ad5-bf0c-f934878c0c96,Solana,save,DAI,LST Pool,7984370,0.0,0.0,True,2025-12-14T21:51:44.795121
0cdd7f84-711e-4cd4-916d-da318857559a,Solana,kamino-lend,USDG,,7438145,5.00981,,True,2025-12-14T21:51:44.795121
dde4c16c-504d-470b-9404-006287ce0906,Solana,save,USDC,Main Pool,5233251,6.14,0.0,True,2025-12-14T21:51:44.795121
110142b1-d2da-4f73-a9ac-d8fd415e0320,Solana,kamino-liquidity,AUSD-USDC,,4893423,0.0,0.0,True,2025-12-14T21:51:44.795121
432cb0b0-7087-4a4e-94e9-6c8092c05539,Solana,loopscale,USDC,,4679218,9.01012,0.0,True,2025-12-14T21:51:44.795121
546b3c0c-138d-4190-b46b-efa1765f1dd3,Solana,kamino-lend,USDT,,4405617,2.12044,,True,2025-12-14T21:51:44.795121
37eafe79-0c75-4f95-8daa-3985e7958fe7,Solana,kamino-lend,LANTERNSOL,,3717712,0.0,,True,2025-12-14T21:51:44.795121
ba65f664-1757-4e50-9680-f8353a68958f,Solana,kamino-liquidity,USDG-SYRUPUSDC,,3289858,0.0,0.0,True,2025-12-14T21:51:44.795121
d35163a5-40cc-4206-8487-0085055d44be,Solana,allbridge-classic,USDT,,2986801,0.08125,,True,2025-12-14T21:51:44.795121
1b6be74e-4949-47c8-85ec-09ae0d41b25e,Solana,kamino-liquidity,WYLDS-CASH,,2906569,0.14167,0.0,True,2025-12-14T21:51:44.795121
4fe0028e-6173-4b3f-8afd-294dbd7598b9,Solana,loopscale,USDG,,2601158,2.26892,0.0,True,2025-12-14T21:51:44.795121
a5f59d50-68c5-4ae4-b678-df8338886ccb,Solana,allbridge-classic,USDC,,2541612,0.08741,,True,2025-12-14T21:51:44.795121
da576830-547b-4119-a0aa-6e837fcc5b47,Solana,loopscale,HYUSD,,2498648,8.26766,0.0,True,2025-12-14T21:51:44.795121
6ded470a-8cfe-4d41-9c3c-df3262908cbc,Solana,kamino-liquidity,USDU-USDC,,2182300,0.0,0.0,True,2025-12-14T21:51:44.795121
3bcc8b7a-0201-4de3-a6b6-04e9030332e2,Solana,kamino-liquidity,USDG-USDT,,2149384,0.18293,0.0,True,2025-12-14T21:51:44.795121
220df3e3-9cb6-48bf-ac84-b14dd0a0df7f,Solana,atrix,USDT-USDC,,2034716,,0.0,True,2025-12-14T21:51:44.795121
8895c49d-e817-46a4-8a53-3accea955851,Solana,kamino-liquidity,WYLDS-USDC,,2005614,0.18044,0.0,True,2025-12-14T21:51:44.795121
66239a2d-3fd1-458b-b5b5-ca4a058b6061,Solana,kamino-liquidity,FDUSD-USDT,,1962451,0.0,0.0,True,2025-12-14T21:51:44.795121
d7b248e7-da9c-4918-9fff-ea93e60cdcfd,Solana,loopscale,USDC,,1957844,3.82622,7.19903,True,2025-12-14T21:51:44.795121
2a7e3d6c-26c0-4d71-b904-97a30bb723f2,Solana,kamino-lend,CDCSOL,,1888777,0.00468,,True,2025-12-14T21:51:44.795121
50f19aad-d71d-4218-8d63-8c6bfcd153c1,Solana,kamino-liquidity,FDUSD-USDT,,1865055,0.0,0.0,True,2025-12-14T21:51:44.795121
6bece45f-98f0-410f-8df6-915161828fe7,Solana,wasabi,USDC,,1151916,7.33032,0.0,True,2025-12-14T21:51:44.795121
d4491d92-ae68-4fb6-bde6-12207d1102b6,Solana,loopscale,USDC,,1116512,9.03947,1.08622,True,2025-12-14T21:51:44.795121
7ec9f4ba-803c-4935-97e2-342aa75b4ff4,Solana,save,USDT,Main Pool,1103655,6.09,0.0,True,2025-12-14T21:51:44.795121
e1014444-6a83-4816-a8ac-6f9daca0dc79,Solana,kamino-liquidity,HYUSD-USDC,,824286,2.24911,0.0,True,2025-12-14T21:51:44.795121
190580f0-8121-4744-945b-6a5c04e09795,Solana,kamino-lend,EURC,,593779,4.83436,,True,2025-12-14T21:51:44.795121
